#RPLIDAR SCAN DATA
#COUNT=799
#Angule	Distance	Quality
356.5118 299.0 188
356.9348 299.0 188
357.3743 298.0 188
357.7917 298.0 188
358.2147 298.0 188
358.6377 298.0 188
359.0607 299.0 188
359.4836 299.0 188
359.9011 298.0 188
0.3241 298.0 188
0.7471 299.0 188
1.1700 299.0 188
1.5930 299.0 188
2.0105 299.0 188
2.4335 299.0 188
2.8564 299.0 188
3.2300 300.0 188
3.6530 300.0 188
4.0759 300.0 188
4.4989 300.0 188
4.9219 300.0 188
5.3394 301.0 188
5.7623 301.0 188
6.1853 301.0 188
6.6083 302.0 188
7.0312 302.0 188
7.4487 303.0 188
7.8717 303.0 188
8.2452 304.0 188
8.6682 305.0 188
9.0912 305.0 188
9.5142 306.0 188
9.9371 307.0 188
10.2942 309.0 188
10.7336 310.0 188
11.1511 311.0 188
11.5137 312.0 188
11.9366 312.0 188
12.3541 313.0 188
12.7771 315.0 188
13.2001 315.0 188
13.5736 316.0 188
13.9966 316.0 188
14.4196 317.0 188
14.8425 318.0 188
15.2655 319.0 188
15.6226 320.0 188
16.0455 320.0 188
16.4685 321.0 188
16.9025 322.0 188
17.3254 323.0 188
17.6825 324.0 188
18.1055 325.0 188
18.5284 326.0 188
18.9514 327.0 188
19.3250 328.0 188
19.7479 329.0 188
20.1709 330.0 188
20.5884 331.0 188
20.9509 333.0 188
21.3739 334.0 188
21.7969 335.0 188
22.2144 336.0 188
22.5934 337.0 188
23.0109 338.0 188
24.3402 334.0 188
26.0925 329.0 188
26.5594 326.0 188
27.0428 323.0 188
27.4658 321.0 188
27.9327 318.0 188
28.4216 315.0 188
28.8391 312.0 188
29.3280 311.0 188
29.7455 308.0 188
30.2783 303.0 188
30.7013 300.0 188
31.1847 297.0 188
31.7175 292.0 188
32.6239 286.0 188
33.7939 269.0 188
34.2773 265.0 188
34.8102 260.0 188
35.3430 255.0 188
35.8264 252.0 188
36.3593 248.0 188
36.8427 244.0 188
37.3700 241.0 188
37.8424 238.0 188
38.3258 235.0 188
38.8092 232.0 188
39.3420 229.0 188
39.8749 225.0 188
40.3583 222.0 188
40.8252 220.0 188
41.3745 217.0 188
41.8414 215.0 188
42.3248 212.0 188
42.8577 210.0 188
43.3411 208.0 188
43.8080 206.0 188
44.2969 204.0 188
44.7803 202.0 188
45.2472 200.0 188
45.7800 198.0 188
46.2634 196.0 188
46.7963 193.0 188
47.2797 191.0 188
47.7466 190.0 188
48.2959 187.0 188
48.7628 185.0 188
49.2462 184.0 188
49.7791 182.0 188
50.2625 180.0 188
50.7294 179.0 188
51.2787 176.0 188
51.7456 175.0 188
52.2949 173.0 188
52.7179 172.0 188
53.2452 170.0 188
53.7341 169.0 188
54.2615 167.0 188
54.6844 167.0 188
55.2173 165.0 188
55.7007 163.0 188
