angle,distance,x,y,z
356.5118,299.0,298.4460576890156,-18.192049084277997,30
356.9348,299.0,298.5722303393052,-15.988222859745777,30
357.3743,298.0,297.6871362801864,-13.651699282570176,30
357.7917,298.0,297.778688803575,-11.48270414247673,30
358.2147,298.0,297.8553467235512,-9.283987731202364,30
358.6377,298.0,297.91577014426593,-7.08476529949377,30
359.0607,299.0,298.9598213957595,-4.9015498585229045,30
359.4836,299.0,298.9878558966332,-2.6948147123836805,30
359.9011,298.0,297.99955605059426,-0.5143866723682062,30
0.3241,298.0,297.99523242089583,1.6856614180445129,30
0.7471,299.0,298.9745816563331,3.898656617426242,30
1.17,299.0,298.93766204374236,6.105260995345336,30
1.593,299.0,298.88444213669624,8.312054417283948,30
2.0105,299.0,298.8159399565842,10.489710570986546,30
2.4335,299.0,298.73035439753824,12.695485871804905,30
2.8564,299.0,298.6285126531947,14.90004800464549,30
3.23,300.0,299.5234197742653,16.903283903705557,30
3.653,300.0,299.3904656029495,19.114107513799468,30
4.0759,300.0,299.24123047801834,21.323367041851558,30
4.4989,300.0,299.07565195677176,23.531986882367516,30
4.9219,300.0,298.893772423963,25.739324120345483,30
5.3394,301.0,299.693943912141,28.00964088285495,30
5.7623,301.0,299.4790432080658,30.22089805385464,30
6.1853,301.0,299.2477706201432,32.43103111025224,30
6.6083,302.0,299.9935437445065,34.754477576463174,30
7.0312,302.0,299.7288517093831,36.96776234741109,30
7.4487,303.0,300.44308332152417,39.28044913510661,30
7.8717,303.0,300.1449007339202,41.497452493197386,30
8.2452,304.0,300.85767498519664,43.596552644696445,30
8.6682,305.0,301.5161943931722,45.967211343073714,30
9.0912,305.0,301.1686163641354,48.19195490237193,30
9.5142,306.0,301.7908679136435,50.57936381499636,30
9.9371,307.0,302.3943223292916,52.97805038889703,30
10.2942,309.0,304.0260680596488,55.219108469711514,30
10.7336,310.0,304.5761615697437,57.73527347680414,30
11.1511,311.0,305.1284974188974,60.14648836703536,30
11.5137,312.0,305.7216257846762,62.275898448552496,30
11.9366,312.0,305.25364402816973,64.53071212626939,30
12.3541,313.0,305.7521690897274,66.9672389824067,30
12.7771,315.0,307.1999148774361,69.66500053323779,30
13.2001,315.0,306.6772288621306,71.93105933770457,30
13.5736,316.0,307.1738808214557,74.16338005435094,30
13.9966,316.0,306.6179854385929,76.42912406654168,30
14.4196,317.0,307.01387598346963,78.93972354655628,30
14.8425,318.0,307.38949813567615,81.45978416308962,30
15.2655,319.0,307.7444460233823,83.99021336894886,30
15.6226,320.0,308.1780537448573,86.1759084085095,30
16.0455,320.0,307.5336007668359,88.44820178717265,30
16.4685,321.0,307.8312111104562,90.99970036362622,30
16.9025,322.0,308.0898894363782,93.61954938515916,30
17.3254,323.0,308.34512673937144,96.18878737192273,30
17.6825,324.0,308.6923926912471,98.412431605732,30
18.1055,325.0,308.90791894694945,100.99949312677222,30
18.5284,326.0,309.1022005000996,103.59454447989137,30
18.9514,327.0,309.2747662165992,106.19848860350095,30
19.325,328.0,309.51938042433386,108.54378444543241,30
19.7479,329.0,309.65098357327975,111.16325099645309,30
20.1709,330.0,309.7605309121035,113.79109582498867,30
20.5884,331.0,309.85927817675116,116.39685445828319,30
20.9509,333.0,310.9844340911033,119.07007076942641,30
21.3739,334.0,311.0281252607658,121.72717567073255,30
21.7969,335.0,311.0494826825714,124.39139569481767,30
22.2144,336.0,311.0605995242802,127.0326864377644,30
22.5934,337.0,311.13675929867173,129.471684213655,30
23.0109,338.0,311.10551027040117,132.12630880862943,30
24.3402,334.0,304.31218443441384,137.65934187244727,30
26.0925,329.0,295.47001631392925,144.7013111877235,30
26.5594,326.0,291.59764251640013,145.76287208640514,30
27.0428,323.0,287.6854876100521,146.85387369275125,30
27.4658,321.0,284.81890040411827,148.05132208997316,30
27.9327,318.0,280.9525001104814,148.9620511461558,30
28.4216,315.0,277.03279934174054,149.92607541344816,30
28.8391,312.0,273.30504735380623,150.49369119977672,30
29.328,311.0,271.13913339781783,152.3304642554481,30
29.7455,308.0,267.4172376458421,152.81368070257074,30
30.2783,303.0,261.66673121871185,152.7727782470241,30
30.7013,300.0,257.9522062572569,153.16872816281267,30
31.1847,297.0,254.084260676028,153.78617778173776,30
31.7175,292.0,248.38996747899523,153.51359567081897,30
32.6239,286.0,240.87708910231112,154.18893587283517,30
33.7939,269.0,223.55075277794447,149.61972106782696,30
34.2773,265.0,218.9751956169231,149.24765895829074,30
34.8102,260.0,213.4723748683657,148.42353306689597,30
35.343,255.0,208.00443916515286,147.50984132453743,30
35.8264,252.0,204.32013934606644,147.5034937132134,30
36.3593,248.0,199.71815193334155,147.0260513933864,30
36.8427,244.0,195.26947239709412,146.3073243202831,30
37.37,241.0,191.53054042173196,146.27731227281726,30
37.8424,238.0,187.94889341277067,146.0110046021017,30
38.3258,235.0,184.35684378915624,145.73110219888085,30
38.8092,232.0,180.78306309545712,145.40111449993762,30
39.342,229.0,177.10303745931193,145.1740821313693,30
39.8749,225.0,172.67536866024582,144.25053572880827,30
40.3583,222.0,169.16617758835642,143.75953658851526,30
40.8252,220.0,166.4756704712566,143.82576661066537,30
41.3745,217.0,162.83795402796397,143.43221649262304,30
41.8414,215.0,160.17375111009764,143.42025468991642,30
42.3248,212.0,156.74002018467044,142.74650984353033,30
42.8577,210.0,153.93950414029604,142.83777184288394,30
43.3411,208.0,151.27436732859124,142.7587678194739,30
43.808,206.0,148.66269740684913,142.60225243564568,30
44.2969,204.0,146.00902619416377,142.46881858790013,30
44.7803,202.0,143.38221971234816,142.2868197352092,30
45.2472,200.0,140.8098859639964,142.0301940250957,30
45.78,198.0,138.08823125856176,141.90010707494895,30
46.2634,196.0,135.5034425486855,141.6150311847407,30
46.7963,193.0,132.1266765935639,140.68241301719192,30
47.2797,191.0,129.57822169798055,140.32278667981547,30
47.7466,190.0,127.75803901896049,140.63386315546398,30
48.2959,187.0,124.40806709543072,139.61243799024072,30
48.7628,185.0,121.94789966422773,139.11761127723352,30
49.2462,184.0,120.11703901366664,139.383990969513,30
49.7791,182.0,117.5239988769614,138.9680167807254,30
50.2625,180.0,115.06882526944845,138.41663719043726,30
50.7294,179.0,113.30408428870271,138.575555144111,30
51.2787,176.0,110.0937626152727,137.31483325996498,30
51.7456,175.0,108.35199471165349,137.42214247349594,30
52.2949,173.0,105.80636161584931,136.87225373177768,30
52.7179,172.0,104.18725483563455,136.85399493553172,30
53.2452,170.0,101.72659310607584,136.20462640832318,30
53.7341,169.0,99.96914796278688,136.26140119488875,30
54.2615,167.0,97.54248900881679,135.55243575076346,30
54.6844,167.0,96.53932891399843,136.2686976999297,30
55.2173,165.0,94.12682437461183,135.51804652204436,30
55.7007,163.0,91.85310086074446,134.65514421018568,30
56.1676,162.0,90.1960008227068,134.56850090415023,30
56.7169,160.0,87.80420221464018,133.75508242100776,30
57.1399,160.0,86.81433895355019,134.39966723194703,30
57.6068,159.0,85.18052691166952,134.2582505287863,30
58.0298,159.0,84.18702042487472,134.8834518834009,30
58.4528,159.0,83.1889253546083,135.50130146365905,30
58.9362,158.0,81.52677208633666,135.34173574024578,30
59.4196,157.0,79.87326949160244,135.16382955776982,30
59.8425,157.0,78.87345897164724,135.74968681307476,30
60.3094,156.0,77.2693199076206,135.51919495412372,30
60.7928,155.0,75.63524923602873,135.29341843934543,30
61.2158,155.0,74.63436057126088,135.84812189397033,30
61.6992,154.0,73.0114774287282,135.5924930210899,30
62.1222,154.0,72.00845229719462,136.1278178689523,30
62.5891,153.0,70.43640731215054,135.8223564990566,30
63.0121,153.0,69.43175534974911,136.33866417510694,30
63.4955,152.0,67.8327511565199,136.02469581122998,30
63.9185,152.0,66.82667634427563,136.52177602411064,30
64.4019,151.0,65.24043224246428,136.17887501670893,30
64.8248,151.0,64.233528332894,136.65670066962434,30
65.2917,150.0,62.69980170384801,136.26714521959482,30
65.7147,150.0,61.69207685104343,136.72632392412572,30
66.264,149.0,59.97593073275952,136.3960693449017,30
66.687,149.0,58.967328306758816,136.8351350800039,30
67.1045,149.0,57.96868828192592,137.26117870276687,30
67.5769,148.0,56.45357814452033,136.8100636454809,30
67.9999,148.0,55.442015325153854,137.2231137115224,30
68.4174,148.0,54.44064181305494,137.6234591884053,30
68.9062,147.0,52.90469005652546,137.14989526070727,30
69.3237,147.0,51.90391742575113,137.5317539910722,30
69.7467,147.0,50.88715058944486,137.91119571988042,30
70.2301,146.0,49.383563754436935,137.39455458973424,30
70.6531,146.0,48.3678785023011,137.75539310381512,30
71.076,146.0,47.349798021350054,138.10864066863215,30
71.499,146.0,46.328896328130476,138.4544450894132,30
